"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"mod_EOCr_rdiff3",6,-16.46677935223,-0.486144787557571,14.233389676115,-28.46677935223,NA,NA,NA
"mod_EOCr_distbay3",7,-10.6915804585675,7.952493200217,12.3457902292837,-24.6915804585675,0,1,1
