"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"mod_EOCr_rdiff4",6,-114.129035474785,-93.6058254791515,63.0645177373926,-126.129035474785,NA,NA,NA
"mod_EOCr_distbay4",7,-88.0170266291487,-64.0732816342427,51.0085133145744,-102.017026629149,0,1,1
