"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"mod_EOCK_Kdiff3",6,84.3581886440225,100.338823208695,-36.1790943220113,72.3581886440225,NA,NA,NA
"mod_EOCK_distbay3",7,76.0657771766013,94.7098508353858,-31.0328885883007,62.0657771766013,10.2924114674212,1,0.00133578406392201
