pair,pH,diff,lwr,upr,p adj,fun,opp
v:H-s:H,5,-2.9655555555555555,-5.257272120934536,-0.6738389901765753,0.0025106024326969623,H,H
v:L-s:L,5,-4,-6.230593108388129,-1.7694068916118706,4.554482262331128e-6,L,L
v:P-s:P,5,-6.497222222222222,-8.920836881760945,-4.073607562683498,7.714850980278243e-11,P,P
v:A-s:A,7,-7.842499999999999,-9.958924741296137,-5.726075258703863,2.0836532499401983e-10,A,A
v:C-s:C,7,-2.459999999999998,-4.455384381921975,-0.4646156180780212,0.004912319994629821,C,C
v:H-s:H,7,-7.139999999999999,-9.190062570870904,-5.089937429129094,2.083885286552345e-10,H,H
v:L-s:L,7,-5.255555555555555,-7.35887537368914,-3.152235737421969,3.546899440820539e-10,L,L
v:P-s:P,7,-5.260000000000002,-7.255384381921979,-3.2646156180780244,2.2682278277841306e-10,P,P
