,npar,AIC,BIC,logLik,deviance,Chisq,Df,Pr(>Chisq)
mod_EOCK_Kdiff4,6.0000,128.8696,149.3928,-58.4348,116.8696,NA,NA,NA
mod_EOCK_distbay4,7.0000,128.5731,152.5168,-57.2865,114.5731,2.2966,1.0000,0.1297
