Plate_ID,Plug_ID,r,r.pval,r.R2,r.F,K
CA501,c,0.12260365662646588,0.1491522956025973,0.946106202116306,17.55501076688005,4.1
CA501,a,0.1793855656611654,0.08046474128148037,0.9841095173773998,61.93075067322057,3.5
CA502,c,0.2011797390542627,0.050851594066975446,0.9936331438032058,156.06338718683722,3.1
CA502,a,0.21682513192351333,0.09726351507366558,0.9768389667838802,42.17596674849587,7.5
CA503,c,0.1732867951399864,1.4420485744973417e-16,1,1948948964719584e16,3.7
CA503,a,0.18800967459703433,0.01033655794216461,0.9997363951014048,3792.5562098024566,6.4
CA504,c,0.13732653608351378,0.025734120952892257,0.9983668658222811,611.3195593130695,3.5
CA504,a,0.20924705419645898,0.0045272709036932104,0.9999494285509014,19773.00327306473,7.3
CA505,c,0.13732653608351378,0.025734120952892257,0.9983668658222811,611.3195593130695,2.2
CA505,a,0.2204485740326699,0.08977497312869012,0.9802453382212948,49.620962849283856,7.6
CA506,c,0.13732653608351378,0.025734120952892257,0.9983668658222811,611.3195593130695,3.8
CA506,a,0.19607698973923066,0.0019445404099028938,0.9999906701996798,107182.43005080003,5.5
CA507,c,0.12260365662646587,0.015294551232552292,0.9994229284366427,1731.887328882136,4.3
CA507,a,0.1473318745427058,0.13609754126165102,0.954989474406072,21.217025613557848,4.3
CA508,c,0.18800967459703433,0.07985532619932746,0.9843480460824007,62.88978687674134,4.5
CA508,a,0.16687513334154253,0.014119758059733624,0.9995081609005754,2032.1852452762923,3.8
CA509,c,0.13732653608351383,0.17083596424776093,0.9297010927505349,13.224972181308106,5
CA509,a,0.1808648728670407,0.14388855162761752,0.9497791208812821,18.912036936591388,3.1
CA510,c,0.13732653608351383,0.17083596424776093,0.9297010927505349,13.224972181308106,4.3
CA510,a,0.16241037301628267,0.024602288781779162,0.9985072930045574,668.9238384044044,5.2
CA701,c,0.21309351152980333,0.027544342399256214,0.998129173319362,533.5230588966078,4.4
CA701,a,0.18600963192872916,0.07048287297172945,0.9877923589960023,80.91590821457855,13
CA702,c,0.24323876863191418,0.04738175991936266,0.9944708283513136,179.85891767125287,4.3
CA702,a,0.21787116313232793,0.0950788245363922,0.9778600854696649,44.16729270250076,16.1
CA703,c,0.18329213359917843,0.05706209276006195,0.9919874309757234,123.80391706707077,5
CA703,a,0.17938556566116537,0.12043916153847466,0.9646338559854116,27.27562992413041,11.1
CA704,c,0.18329213359917848,0.1226183147758083,0.9633584954194095,26.29145572613077,3.9
CA704,a,0.1960769897392307,0.1447464408879942,0.9491888686530021,18.68072690944094,11.3
CA705,c,0.2239699336535069,0.19487819673709966,0.9091848434329596,10.011377811828048,3.6
CA705,a,0.16687513334154255,0.11330395171143062,0.9686570802361261,30.905132244654762,5.5
CA706,c,0.1732867951399864,0.08129610656297384,0.9837812546499426,60.65705043247758,3.8
CA706,a,0.19075703793688117,0.05403279541092226,0.9928135975189443,138.15168300636105,6.4
CA707,c,0.1504966005407421,0.05551852292595291,0.9924139744129267,130.821332332971,2.9
CA707,a,0.19255563011839363,0.1777425626134226,0.924053358418224,12.16713918051588,11.6
CA708,c,0.1925556301183937,0.036739751474706,0.996673174768494,299.5868749971338,3.5
CA708,a,0.2239699336535069,0.1439157534632502,0.9497604553754687,18.90463901441718,10.1
CA709,c,0.1732867951399864,7.210242872486709e-17,1,7795795858878337e16,4
CA709,a,0.20608232819842276,0.05832783183788993,0.9916290285385435,118.46044788283278,11.7
CH501,c,0.12645011395981,0.07259489703464965,0.9870530130187399,76.23804785217132,6.1
CH501,h,0.07433838846833657,0.026066916679361746,0.9983243768142341,595.792887860959,5.3
CH502,c,0.12645011395981,0.07259489703464965,0.9870530130187399,76.23804785217132,5.8
CH502,h,0.09219986789134739,0.06605562717347546,0.9892724566306726,92.21798715437947,4.5
CH503,c,0.13732653608351375,0.09552373653469019,0.9776539585182623,43.750655314823675,6.6
