pair,diff,lwr,upr,p adj,fun,opp,key
7:C-5:C,-0.3140355460355133,-0.4469423627668626,-0.18112872930416402,1.7712720179474672e-11,C,C,r
7:H-5:H,-0.3220441133848413,-0.4519278920717328,-0.1921603346979498,0,H,H,r
7:C-5:C,-0.37043764443162575,-0.6728077434793749,-0.06806754538387666,0.004466910173545502,C,C,K
7:P-5:P,-0.3845012199869917,-0.6639597313193417,-0.10504270865464171,6.509714335252159e-4,P,P,K
