pair,diff,lwr,upr,p adj,fun,opp,key
7:A-5:A,0.09232746214874832,0.06107059617831899,0.12358432811917765,2.5281887694461602e-11,A,A,r
7:C-5:C,0.03652931935120138,0.009520300231302577,0.06353833847110019,0.001288008868164603,C,C,r
7:H-5:H,0.14745191651963338,0.11970278724143987,0.1752010457978269,2.4972135470591184e-11,H,H,r
7:A-5:A,8.183928571428574,5.073494625535785,11.294362517321362,5.1443849180543566e-11,A,A,K
7:C-5:C,3.3700000000000054,0.6822778849524394,6.0577221150475715,0.0039477460263027675,C,C,K
7:H-5:H,10.490000000000002,7.728628026318567,13.251371973681437,2.4981350321695572e-11,H,H,K
7:L-5:L,4.606666666666666,1.8452946929852305,7.3680386403481,2.487948313978361e-5,L,L,K
