Plate_ID,Plug_ID,1,2,3,4,5,6,7,8,
CL508,l,0.6,1.3,2.3,3.1,3.7,4.6,,5.4,
CL509,c,0.3,0.7,1.1,1.4,2.1,3.7,4.7,5.8,contam
CL509,l,0.8,1.3,2.4,2.8,3.5,4.2,,4.6,contam
CL510,c,0.3,0.7,1.4,1.7,2.3,2.8,,,contam
CL510,l,0.8,1.7,3.1,3.8,4.6,6.1,,7.3,contam
CL701,c,0.4,0.6,1,1.7,3,4.7,,5.9,contam
CL701,l,0.7,1,2.2,4,6.8,10.1,,,contam
CL702,c,0.3,0.6,1.2,1.9,3.5,5.2,6.2,,
CL702,l,0.8,1.3,2.1,4,8.3,10.7,13.1,,
CL703,c,0.4,0.7,1.4,2.4,3.8,5.8,,,
CL703,l,0.8,1.6,2.5,4,6.8,9.9,12.4,,
CL704,c,0.4,0.9,1.4,2.2,2.8,3.7,4.8,,
CL704,l,0.9,1.6,2.2,4,6.6,9,11.6,,
CL705,c,0.3,0.8,1.5,2.4,3.4,5.3,6.3,,
CL705,l,0.8,1.5,2.9,4.6,7.7,10.2,12.2,,
CL706,c,0.3,0.8,1.4,2.3,3.8,5.5,6.5,,
CL706,l,0.7,1.7,2.8,4.4,8.7,10.8,12.6,,
CL707,c,0.4,0.9,1.6,2,2.9,4.3,5.5,,
CL707,l,0.6,1.3,2.5,4.1,6.6,10,12.8,,
CL708,c,0.4,0.7,1.1,1.9,3.2,5,,,
CL708,l,0.9,1.6,2.5,4.2,8,11.3,13.8,,
CL709,c,0.4,0.8,1.6,2.3,3.6,5.3,6.4,,
CL709,l,0.8,1.5,2.9,4.5,7.5,9.9,12.6,,
CL710,c,0.3,0.9,1.6,2.1,2.7,3.8,4.7,,
CL710,l,0.8,1.3,2.4,4.1,6.7,10.4,13.3,,
CP501,c,0.2,0.4,0.5,0.5,,,,,dead?
CP501,p,0.8,1.7,3.4,3.6,,4.4,7,9.2,dead?
CP502,c,0.2,0.5,0.6,0.8,1.3,1.8,,,
CP502,p,0.5,1.9,4.4,7,9.4,12.9,14.4,,
CP503,c,0.3,0.4,0.8,1.2,1.8,3,3.7,,
CP503,p,0.5,1.7,4.2,7,10.4,14.5,16.8,,
CP504,c,0.3,0.4,0.7,0.9,1.7,2.1,2.5,,
CP504,p,1,2.7,5.3,8,11.3,14.7,17.3,,
CP505,c,0.3,0.4,0.7,1,1.6,2.6,2.9,,
CP505,p,0.7,2.1,5,8.1,11.5,16.9,18.9,,
CP506,c,0.2,0.5,0.7,1,1.7,2.4,3,,
CP506,p,0.6,2.2,5.2,9.7,12.9,17.1,19.5,,
CP507,c,0.3,0.4,0.6,1,1.5,2.4,3,,
CP507,p,0.7,2,4.4,8,12.1,15.9,18.1,,
CP508,c,0.3,0.5,0.7,1.1,1.7,2.7,3.3,,
CP508,p,0.8,2.1,4.8,7.9,11.7,16.3,18.1,,
CP509,c,0.3,0.4,0.9,1.3,1.9,2.9,,,
CP509,p,0.7,2,5.3,9.2,13.9,18.7,20,,
CP510,c,0.3,0.4,0.5,0.7,0.9,1.2,,,
CP510,p,0.7,2.2,5,8.1,11.5,16.4,19.8,,
CP701,c,0.2,0.6,1.3,1.8,2.5,4.1,4.6,,
CP701,p,0.7,1.8,3.4,6.4,9,12.2,14,,
CP702,c,0.2,0.7,1.2,1.7,2.6,3.9,4.4,,
CP702,p,0.6,1.7,3.4,6,8.9,13,15.1,,
CP703,c,0.3,0.7,1.1,1.6,2.5,3.4,,4.8,
CP703,p,0.5,1.6,3.5,6.2,9.6,12.4,14.2,,
CP704,c,0.2,0.7,1.2,2.1,3,4.5,5.2,,
CP704,p,0.5,1.5,3.2,5.7,8.5,12,13.6,,
CP705,c,0.3,0.6,1.1,1.8,2.9,4.4,4.9,,
CP705,p,0.7,1.7,3.6,6.4,9.1,12.9,15.2,,
CP706,c,0.3,0.5,1,1.4,2.3,3.1,3.8,4.5,
CP706,p,0.9,1.9,3.9,6.4,10.4,12.4,14.5,,
CP707,c,0.3,0.6,1.1,1.8,2.6,3.8,4.2,,
CP707,p,1.3,2.6,4.6,7.3,10.8,13.6,15.3,,
CP708,c,0.3,0.7,1.3,2.1,3,4.6,5.4,,
CP708,p,0.6,1.9,3.4,6,8.6,12.7,13.8,,
CP709,c,0.3,0.5,1.1,1.6,2.4,3.7,4.1,,
CP709,p,0.7,1.7,3.9,6.4,10.4,14.1,16,,
CP710,c,0.3,0.6,1,1.4,2.5,4,4.7,,
CP710,p,0.8,1.9,3.6,6.5,10,12.8,14.5,,
HA501,h,1.7,3.5,4.7,5.3,,7,,9,
HA501,a,0.5,1.1,1.8,2.5,3,3.7,,4.7,
HA502,h,1.5,3.2,4.5,5.4,,7.5,,9.1,
HA502,a,0.5,1.2,2.1,3,,4.2,,5.2,
HA503,h,1.9,3.1,4.4,5.3,6.1,7,,8.4,
HA503,a,0.7,1.2,1.7,2.2,2.7,3.4,,4.7,
HA504,h,2,3.5,4.7,5.7,6.4,7.3,,8.9,
HA504,a,0.5,1.2,2,2.4,2.8,3.6,,5,
HA505,h,1.6,2.7,3.7,4.1,,5.3,,6.8,
HA505,a,0.6,1.4,2.4,3.6,,5.5,,7.2,
HA506,h,1.8,3.3,4.4,5.2,5.8,6.8,,8.9,
HA506,a,0.5,1.1,1.9,2.6,3.1,3.9,,5,
HA507,h,1.5,2.8,3.7,4.7,,6.1,,7.7,
HA507,a,0.6,1.3,2,2.6,,3.6,,5.1,
HA508,h,1.7,3.7,4.9,5.9,,7.7,,9.8,
HA508,a,0.5,1.5,2.7,3.5,,4.4,,5.6,
HA509,h,1.9,3.3,4.5,5.5,,6.9,,8.5,
HA509,a,0.6,1.5,2.1,2.7,,3.7,,5.1,
HA510,h,1.4,2.3,3,3.6,,4.6,,6.2,
HA510,a,0.5,1.1,1.9,2.6,,3.6,,4.8,
