Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K
Cs505,C,s,5,CCs505,N,0.1373265360835138,4.7
Cs506,C,s,5,CCs506,N,0.09855717004553388,5
Cs507,C,s,5,CCs507,N,0.11453634148426949,4.8
Cs508,C,s,5,CCs508,N,0.1373265360835138,5
Cs509,C,s,5,CCs509,N,0.1565953710619211,5.7
Cs510,C,s,5,CCs510,N,0.1059122325484006,4.2
Cs701,C,s,7,CCs701,N,0.1373265360835138,7.8
Cs702,C,s,7,CCs702,N,0.15659537106192112,8.2
Cs703,C,s,7,CCs703,N,0.16011673068275817,8.2
Cs704,C,s,7,CCs704,N,0.1373265360835138,7.7
Cs705,C,s,7,CCs705,N,0.16687513334154258,8.5
Cs706,C,s,7,CCs706,N,0.16687513334154258,8.7
Cs707,C,s,7,CCs707,N,0.16796684333763692,7.8
Cs708,C,s,7,CCs708,N,0.16011673068275817,7.7
Cs709,C,s,7,CCs709,N,0.1373265360835138,7.9
Cs710,C,s,7,CCs710,N,0.1453938512257102,8.1
Ls501,L,s,5,LLs501,N,0.2186499818511575,8.4
Ls502,L,s,5,LLs502,N,0.19075703793688123,8.7
Ls503,L,s,5,LLs503,N,0.223969933653507,8.4
Ls504,L,s,5,LLs504,N,0.2290726829685389,7.7
Ls505,L,s,5,LLs505,N,0.23869281311055487,9
Ls506,L,s,5,LLs506,N,0.233975272112699,8.8
Ls507,L,s,5,LLs507,N,0.22396993365350695,9.4
Ls508,L,s,5,LLs508,N,0.238692813110555,8.8
Ls509,L,s,5,LLs509,N,0.21079986919627863,9.6
Ls510,L,s,5,LLs510,N,0.24323876863191424,9.8
Ls701,L,s,7,LLs701,N,0.19607698973923068,12
Ls702,L,s,7,LLs702,N,0.21864998185115747,13.8
Ls703,L,s,7,LLs703,N,0.22907268296853883,12.5
Ls704,L,s,7,LLs704,N,0.2599301927099796,14.8
Ls705,L,s,7,LLs705,N,0.19607698973923068,11.7
Ls706,L,s,7,LLs706,N,0.233975272112699,12.6
Ls707,L,s,7,LLs707,N,0.21864998185115747,15.8
Ls708,L,s,7,LLs708,N,0.2072785095754416,13.6
Ls709,L,s,7,LLs709,N,0.2386928131105549,14.4
Hs501,H,s,5,HHs501,N,0.15049660054074207,6.3
Hs502,H,s,5,HHs502,N,0.10752515815288896,5.4
Hs503,H,s,5,HHs503,N,0.1277064059414977,5.2
Hs504,H,s,5,HHs504,N,0.10333482164805856,3.8
Hs505,H,s,5,HHs505,N,0.15953668323819525,13
Hs506,H,s,5,HHs506,N,0.11805770110510648,5
Hs507,H,s,5,HHs507,N,0.1086297308779512,6.1
Hs508,H,s,5,HHs508,N,0.13732653608351375,5.5
Hs509,H,s,5,HHs509,N,0.13732653608351372,8
Hs510,H,s,5,HHs510,N,0.12870242714764482,14.8
Hs701,H,s,7,HHs701,N,0.26402892056285343,18.2
Hs702,H,s,7,HHs702,N,0.2814114748258119,17.9
Hs703,H,s,7,HHs703,N,0.2949100545838239,18.1
Hs704,H,s,7,HHs704,N,0.27781779816506375,16.4
Hs705,H,s,7,HHs705,N,0.29192186447712964,17.4
Hs706,H,s,7,HHs706,N,0.26959165199768537,17.9
Hs707,H,s,7,HHs707,N,0.2829205474800956,18.7
Hs708,H,s,7,HHs708,N,0.24434988705906996,16.8
Hs710,H,s,7,HHs710,N,0.27089339026236775,18.8
Ps501,P,s,5,PPs501,N,0.2774004355068744,13.5
Ps502,P,s,5,PPs502,N,0.2660289632311586,13.8
Ps503,P,s,5,PPs503,N,0.28008871115949496,18.8
Ps504,P,s,5,PPs504,N,0.26897027540743285,16
Ps505,P,s,5,PPs505,N,0.29973690909979644,18.4
Ps506,P,s,5,PPs506,N,0.27184396518552023,14.9
Ps507,P,s,5,PPs507,N,0.315716080538532,16.5
Ps508,P,s,5,PPs508,N,0.26301676928377604,15.1
Ps701,P,s,7,PPs701,N,0.2746530721670275,14.4
Ps702,P,s,7,PPs702,N,0.26750827043703396,15.9
Ps703,P,s,7,PPs703,N,0.2746530721670275,11.8
Ps704,P,s,7,PPs704,N,0.2501850000262656,13.6
Ps705,P,s,7,PPs705,N,0.2432387686319143,13.6
Ps706,P,s,7,PPs706,N,0.2637766500433238,15.4
Ps707,P,s,7,PPs707,N,0.24676012825275132,17.9
Ps708,P,s,7,PPs708,N,0.2846584106262196,20.5
Ps709,P,s,7,PPs709,N,0.27807794394054186,16.1
Ps710,P,s,7,PPs710,N,0.25676546671194334,13.3
As501,A,s,5,AAs501,N,0.16241037301628275,3.3
As502,A,s,5,AAs502,N,0.13732653608351378,4.8
As503,A,s,5,AAs503,N,0.12645011395981007,4.7
As506,A,s,5,AAs506,N,0.20117973905426267,4.3
As507,A,s,5,AAs507,N,0.1565953710619211,5.2
As508,A,s,5,AAs508,N,0.13732653608351378,4.5
As510,A,s,5,AAs510,N,0.1907570379368813,8.4
As701,A,s,7,AAs701,N,0.25596160542065705,13.9
As702,A,s,7,AAs702,N,0.2599301927099796,15.1
As703,A,s,7,AAs703,N,0.2432387686319142,10.5
As704,A,s,7,AAs704,N,0.25596160542065705,14.8
As705,A,s,7,AAs705,N,0.24676012825275132,14.9
As706,A,s,7,AAs706,N,0.2599301927099796,9.9
As708,A,s,7,AAs708,N,0.2637766500433238,14.1
As709,A,s,7,AAs709,N,0.22396993365350695,12.5
