Plate_ID,Plug_ID,RT,anoms,0,mutual intermingling,,Rubric
HP706,h,1,,,,,
HP706,p,1,,,,,
HP707,h,1,,,,,
HP707,p,1,,,,,
HP708,h,1,,,,,
HP708,p,1,,,,,
HP709,h,1,,,,,
HP709,p,1,,,,,
HP710,h,1,,,,,
HP710,p,1,,,,,
LA501,l,1,,,,,
LA501,a,1,,,,,
LA502,l,0,,,,,
LA502,a,3,,,,,
LA503,l,2,,,,,
LA503,a,0,dead?,,,,
LA504,l,0,,,,,
LA504,a,3,,,,,
LA505,l,0,,,,,
LA505,a,0,,,,,
LA506,l,1,,,,,
LA506,a,1,,,,,
LA507,l,2,,,,,
LA507,a,0,dead?,,,,
LA508,l,2,,,,,
LA508,a,0,dead?,,,,
LA509,l,2,,,,,
LA509,a,0,dead?,,,,
LA510,l,0,,,,,
LA510,a,0,,,,,
LA701,l,1,,,,,
LA701,a,1,,,,,
LA702,l,2,,,,,
LA702,a,0,dead?,,,,
LA703,l,2,,,,,
LA703,a,0,,,,,
LA704,l,2,,,,,
LA704,a,0,dead?,,,,
LA705,l,2,,,,,
LA705,a,0,dead?,,,,
LA706,l,2,,,,,
LA706,a,0,dead?,,,,
LA707,l,2,contam,,,,
LA707,a,0,contam,,,,
LA708,l,2,,,,,
LA708,a,0,dead?,,,,
LA709,l,2,,,,,
LA709,a,0,dead?,,,,
LA710,l,2,,,,,
LA710,a,0,dead?,,,,
LH501,l,2,,,,,
LH501,h,2,,,,,
LH502,l,2,,,,,
LH502,h,2,,,,,
LH503,l,2,,,,,
LH503,h,2,,,,,
LH504,l,2,,,,,
LH504,h,2,,,,,
LH505,l,2,,,,,
LH505,h,2,,,,,
LH506,l,2,,,,,
LH506,h,2,,,,,
LH507,l,2,,,,,
LH507,h,2,,,,,
LH508,l,2,,,,,
LH508,h,2,,,,,
LH509,l,2,,,,,
LH509,h,2,,,,,
LH510,l,2,,,,,
LH510,h,2,,,,,
LH701,l,1,,,,,
LH701,h,1,,,,,
LH702,l,1,,,,,
LH702,h,1,,,,,
LH703,l,1,contam,,,,
LH703,h,1,contam,,,,
LH704,l,1,,,,,
LH704,h,1,,,,,
LH705,l,1,,,,,
LH705,h,1,,,,,
LH706,l,1,contam,,,,
LH706,h,1,contam,,,,
LH707,l,1,,,,,
LH707,h,1,,,,,
LH708,l,1,,,,,
LH708,h,1,,,,,
LH709,l,1,,,,,
LH709,h,1,,,,,
LH710,l,1,,,,,
LH710,h,1,,,,,
LP501,l,1,,,,,
LP501,p,1,,,,,
LP502,l,1,,,,,
LP502,p,0,,,,,
LP503,l,1,,,,,
LP503,p,1,,,,,
LP504,l,1,,,,,
LP504,p,1,,,,,
LP505,l,1,,,,,
LP505,p,0,,,,,
LP506,l,1,,,,,
LP506,p,1,,,,,
LP507,l,1,,,,,
LP507,p,1,,,,,
LP508,l,1,,,,,
LP508,p,1,,,,,
LP509,l,1,,,,,
LP509,p,1,,,,,
LP510,l,1,,,,,
LP510,p,1,,,,,
LP701,l,1,,,,,
LP701,p,1,,,,,
LP702,l,1,,,,,
LP702,p,1,,,,,
LP703,l,1,,,,,
LP703,p,1,,,,,
LP704,l,1,,,,,
LP704,p,1,,,,,
LP705,l,1,,,,,
LP705,p,1,,,,,
LP706,l,1,,,,,
LP706,p,1,,,,,
LP707,l,1,,,,,
LP707,p,1,,,,,
LP708,l,1,,,,,
LP708,p,1,,,,,
LP709,l,1,,,,,
LP709,p,1,,,,,
LP710,l,1,,,,,
LP710,p,1,,,,,
PA501,p,0,,,,,
PA501,a,3,,,,,
PA502,p,0,,,,,
PA502,a,3,,,,,
PA503,p,0,,,,,
PA503,a,3,,,,,
PA504,p,1,,,,,
PA504,a,1,,,,,
PA505,p,1,,,,,
PA505,a,1,,,,,
PA506,p,0,,,,,
PA506,a,3,,,,,
PA507,p,0,,,,,
PA507,a,3,,,,,
PA508,p,0,,,,,
PA508,a,3,,,,,
PA509,p,0,,,,,
PA509,a,3,,,,,
PA510,p,0,,,,,
PA510,a,3,,,,,
PA701,p,0,,,,,
PA701,a,3,,,,,
PA702,p,0,,,,,
PA702,a,3,,,,,
PA703,p,1,,,,,
PA703,a,1,,,,,
PA704,p,1,,,,,
PA704,a,1,,,,,
PA705,p,0,,,,,
PA705,a,3,,,,,
PA706,p,0,,,,,
PA706,a,3,,,,,
PA707,p,0,,,,,
PA707,a,3,,,,,
PA708,p,1,,,,,
PA708,a,1,,,,,
PA709,p,1,,,,,
PA709,a,1,,,,,
PA710,p,0,,,,,
PA710,a,3,,,,,
